plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032817,ndvi_041317,ndvi_050117,ndvi_050917,ndvi_052117,ndvi_052317,ndvi_053017,ndvi_060517,ndvi_061317,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032817,pthtd_041317,pthtd_050117,pthtd_050917,pthtd_052117,pthtd_052317,pthtd_053017,pthtd_060517,pthtd_061317,pthtd_phi1,pthtd_phi2,pthtd_phi3
17BYD00017,1,1,5,1,KS12DH0090-83,Rocky,9/12/16,Untreated,60,0.9,4570,0.81,0.87,0.86,0.86,0.82,0.85,0.75,0.71,0.52,0.852237787,37.37498292,-0.134762362,0.288,0.43,0.618,0.773,0.75,0.759,0.781,0.781,0.838,0.840332308,-13.03396994,0.061444969
17BYD00018,1,1,5,2,Everest,Rocky,9/12/16,Untreated,5,1.02,4790,0.87,0.9,0.89,0.88,0.84,0.86,0.76,0.58,0.38,0.891793127,38.81699376,-0.142999655,0.35,0.562,0.686,0.871,0.767,0.764,0.928,0.97,0.948,0.958344868,-11.10954149,0.053153081
17BYD00019,1,1,5,3,KS090024K-7,Rocky,9/12/16,Untreated,30,0.99,4240,0.86,0.88,0.86,0.85,0.8,0.85,0.73,0.68,0.47,0.86551619,33.89281981,-0.122982081,0.327,0.551,0.659,0.84,0.727,0.785,0.823,0.9,0.918,0.906212272,-11.49053315,0.054870507
17BYD00020,1,1,5,4,KS090028K-4,Rocky,9/12/16,Untreated,65,1.02,4500,0.87,0.89,0.88,0.88,0.83,0.85,0.72,0.59,0.39,0.8873757,35.5846883,-0.130927364,0.375,0.563,0.718,0.925,0.797,0.763,0.842,0.953,0.968,0.942870221,-13.1577925,0.06323091
17BYD00021,1,1,6,4,KS12DH0013-37,Rocky,9/12/16,Untreated,55,1,3710,0.84,0.9,0.88,0.87,0.83,0.85,0.75,0.67,0.47,0.876337583,35.16095377,-0.12781424,0.323,0.558,0.71,0.864,0.802,0.812,0.861,0.886,0.974,0.922102037,-13.8493114,0.0660849
17BYD00022,1,1,6,3,Art,Rocky,9/12/16,Untreated,70,0.92,3870,0.87,0.89,0.87,0.85,0.79,0.83,0.69,0.59,0.41,0.879717822,30.2673635,-0.111035937,0.339,0.573,0.688,0.846,0.712,0.724,0.803,0.9,0.916,0.866553479,-12.43055165,0.060433544
17BYD00023,1,1,6,2,T158,Rocky,9/12/16,Untreated,45,1,4970,0.87,0.89,0.88,0.87,0.82,0.84,0.71,0.57,0.43,0.888880233,30.8269767,-0.1130709,0.401,0.602,0.766,0.866,0.808,0.789,0.89,0.948,0.978,0.942391494,-11.21743502,0.054836626
17BYD00024,1,1,6,1,KS090710K-1,Rocky,9/12/16,Untreated,45,0.99,4240,0.85,0.88,0.87,0.87,0.83,0.85,0.74,0.67,0.48,0.872492811,34.245551,-0.12429207,0.359,0.575,0.728,0.789,0.707,0.703,0.755,0.887,0.923,0.841649418,-11.63300757,0.057406854
17BYD00025,1,1,7,1,KS090633K-7,Rocky,9/12/16,Untreated,15,1.01,3710,0.85,0.89,0.89,0.89,0.87,0.89,0.84,0.81,0.59,0.879982985,56.74406371,-0.204487267,0.348,0.521,0.709,0.834,0.78,0.76,0.817,0.911,0.884,0.892043569,-12.49321181,0.060108156
17BYD00026,1,1,7,2,SY-WOLF,Rocky,9/12/16,Untreated,60,0.9,3250,0.87,0.9,0.89,0.88,0.85,0.87,0.79,0.72,0.51,0.886690512,38.29418279,-0.138634438,0.356,0.56,0.727,0.893,0.826,0.818,0.924,0.974,0.973,0.97991434,-11.43616289,0.054606524
17BYD00027,1,1,7,3,Art,Rocky,9/12/16,Untreated,85,0.9,3410,0.88,0.89,0.87,0.85,0.8,0.84,0.71,0.63,0.44,0.880776642,30.46150384,-0.111169352,0.36,0.6,0.708,0.838,0.75,0.765,0.783,0.918,0.938,0.880850666,-12.0428683,0.058928714
17BYD00028,1,1,7,4,KS090529K-1,Rocky,9/12/16,Untreated,25,0.95,3950,0.88,0.9,0.87,0.87,0.84,0.86,0.74,0.6,0.4,0.888212556,36.76302333,-0.135073847,0.306,0.541,0.709,0.887,0.787,0.825,0.947,0.969,0.97,0.957633297,-15.19652611,0.071231948
17BYD00029,1,1,8,4,KS090028K-25,Rocky,9/12/16,Untreated,40,0.99,3280,0.92,0.93,0.9,0.9,0.85,0.85,0.74,0.63,0.43,0.920897472,31.32553813,-0.114838796,0.393,0.593,0.715,0.919,0.759,0.733,0.799,0.892,0.97,0.895703824,-12.92275918,0.063444698
17BYD00030,1,1,8,3,KS12DH0229-99,Rocky,9/12/16,Untreated,50,0.9,4520,0.88,0.91,0.89,0.87,0.83,0.86,0.75,0.68,0.48,0.892586314,32.44518396,-0.117823787,0.338,0.531,0.666,0.792,0.712,0.719,0.745,0.807,0.874,0.819672314,-12.37002259,0.060326001
17BYD00031,1,1,8,2,KS12DH0156-4,Rocky,9/12/16,Untreated,30,0.82,3970,0.88,0.91,0.9,0.88,0.84,0.87,0.76,0.67,0.46,0.896993037,34.97260359,-0.127460702,0.342,0.523,0.65,0.766,0.704,0.727,0.767,0.796,0.826,0.810093925,-11.89553924,0.058102773
17BYD00032,1,1,8,1,KS090438K-9,Rocky,9/12/16,Untreated,40,0.94,4150,0.83,0.87,0.87,0.86,0.83,0.84,0.74,0.66,0.53,0.865158867,30.54786974,-0.110010231,0.328,0.54,0.536,0.837,0.662,0.657,0.724,0.906,0.915,0.992144317,-7.065007363,0.032771988
17BYD00033,1,1,9,1,WB4458,Rocky,9/12/16,Untreated,50,0.94,4350,0.83,0.86,0.87,0.86,0.85,0.85,0.78,0.72,0.55,0.859428651,38.46040383,-0.138317644,0.321,0.503,0.558,0.841,0.725,0.72,0.814,0.889,0.889,0.926672101,-9.774213985,0.046005106
17BYD00034,1,1,9,2,KS090373K-7,Rocky,9/12/16,Untreated,10,0.98,4100,0.87,0.92,0.9,0.9,0.86,0.87,0.8,0.73,0.44,0.893498292,46.67013661,-0.17034293,0.348,0.578,0.727,0.919,0.773,0.756,0.992,1.013,1.01,1.013619257,-10.77894676,0.051249843
17BYD00035,1,1,9,3,Everest,Rocky,9/12/16,Untreated,10,0.98,4580,0.89,0.92,0.89,0.88,0.84,0.87,0.78,0.66,0.41,0.896226757,40.34175931,-0.147833879,0.352,0.576,0.671,0.867,0.727,0.716,0.846,0.944,0.953,0.921963921,-10.92009496,0.052819404
17BYD00036,1,1,9,4,KS12DH0214-95,Rocky,9/12/16,Untreated,45,0.87,3900,0.9,0.93,0.9,0.9,0.83,0.84,0.73,0.65,0.44,0.914035081,30.00587854,-0.109706312,0.33,0.5,0.668,0.788,0.718,0.657,0.794,0.807,0.806,0.802835015,-13.53115171,0.065664448
17BYD00037,1,1,10,4,KS090633K-11,Rocky,9/12/16,Untreated,40,1.04,2910,0.88,0.91,0.89,0.89,0.84,0.85,0.75,0.65,0.45,0.897612828,33.39267637,-0.121886587,0.338,0.557,0.677,0.92,0.739,0.711,0.812,0.927,0.941,0.895909794,-13.57294836,0.065599719
