plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032020,ndvi_041120,ndvi_042320,ndvi_050320,ndvi_051920,ndvi_060520,ndvi_061120,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032020,pthtd_041120,pthtd_042320,pthtd_050320,pthtd_051920,pthtd_060520,pthtd_061120,pthtd_phi1,pthtd_phi2,pthtd_phi3
20BYD00001,1,1,1,1,KS110532M-1,20ASH,9/17/19,Untreated,5,0.79,4800,0.8,0.86,0.88,0.86,0.85,0.6,0.39,0.852969177,47.98281211,-0.179735662,0.13,0.4,0.44,0.51,0.63,0.58,0.63,0.621887899,-13.65828174,0.067510793
20BYD00002,1,1,1,2,KS110532M-3,20ASH,9/17/19,Untreated,1,0.79,5200,0.76,0.84,0.85,0.83,0.85,0.62,0.41,0.827114584,52.75369594,-0.196979456,0.11,0.36,0.38,0.43,0.59,0.57,0.61,0.622327696,-11.35377827,0.054597495
20BYD00003,1,1,1,3,KS120559K-10,20ASH,9/17/19,Untreated,0,0.79,5100,0.84,0.87,0.87,0.85,0.85,0.59,0.37,0.859478484,48.21396469,-0.180977029,0.16,0.38,0.41,0.47,0.56,0.6,0.66,0.680351849,-8.933675049,0.042992565
20BYD00004,1,1,1,4,EVEREST,20ASH,9/17/19,Untreated,0,0.77,5400,0.87,0.88,0.91,0.89,0.88,0.61,0.31,0.887512052,62.35170729,-0.234977313,0.14,0.4,0.44,0.57,0.47,0.62,0.66,0.615361891,-12.7456859,0.063377901
20BYD00005,1,1,1,5,KS120267K-5,20ASH,9/17/19,Untreated,10,0.86,4600,0.85,0.89,0.9,0.89,0.87,0.6,0.34,0.882660518,54.12377364,-0.203701993,0.14,0.4,0.46,0.57,0.55,0.67,0.75,0.725197838,-10.52618086,0.050742014
20BYD00006,1,1,1,6,KS110489M-6,20ASH,9/17/19,Untreated,0,0.87,5400,0.9,0.9,0.9,0.9,0.9,0.73,0.47,0.900839097,61.24059862,-0.228188175,0.16,0.44,0.48,0.6,0.72,0.73,0.73,0.7582537,-12.07576341,0.058781323
20BYD00007,1,1,1,7,KS120081K-7,20ASH,9/17/19,Untreated,5,0.85,4500,0.86,0.9,0.91,0.91,0.9,0.76,0.48,0.896322088,70.69977488,-0.263276352,0.14,0.43,0.46,0.59,0.75,0.67,0.67,0.706015745,-14.046728,0.068816309
20BYD00008,1,1,1,8,KS110116M-1,20ASH,9/17/19,Untreated,5,0.79,7200,0.83,0.89,0.9,0.89,0.9,0.72,0.42,0.882271369,71.2682502,-0.266293442,0.13,0.37,0.42,0.51,0.67,0.59,0.67,0.665919762,-12.62635384,0.061096613
20BYD00009,1,1,1,9,KS120607K-4,20ASH,9/17/19,Untreated,5,0.86,4200,0.87,0.89,0.91,0.9,0.9,0.73,0.5,0.894927688,56.86480007,-0.211314854,0.22,0.45,0.48,0.59,0.78,0.75,0.67,0.761232339,-10.70382779,0.05280269
20BYD00010,1,1,1,10,KS120310M-3,20ASH,9/17/19,Untreated,1,0.79,4200,0.8,0.86,0.85,0.86,0.87,0.71,0.51,0.848414882,57.00725047,-0.211213026,0.22,0.4,0.39,0.46,0.43,0.43,0.56,0.487828529,-10.37209264,0.05547584
20BYD00011,1,1,1,11,KS16DH0002-14,20ASH,9/17/19,Untreated,15,0.75,2500,0.9,0.87,0.85,0.85,0.79,0.62,0.44,0.869211983,29.26439465,-0.108789663,0.29,0.5,0.53,0.62,0.65,0.63,0.52,0.604901916,-14.43600153,0.077469319
20BYD00012,1,1,1,12,KS120766M-6,20ASH,9/17/19,Untreated,10,0.84,2800,0.85,0.87,0.88,0.89,0.87,0.68,0.5,0.87462717,44.94619191,-0.166670464,0.19,0.43,0.46,0.6,0.69,0.58,0.62,0.638025362,-13.64673976,0.068958525
20BYD00013,1,1,1,13,ART,20ASH,9/17/19,Untreated,20,0.79,3100,0.91,0.9,0.91,0.89,0.85,0.66,0.44,0.898046625,42.86908975,-0.159989747,0.2,0.45,0.51,0.66,0.72,0.75,0.74,0.770367563,-11.84144398,0.058372845
20BYD00014,1,1,1,14,KS120612K-5,20ASH,9/17/19,Untreated,5,0.81,3900,0.89,0.89,0.9,0.9,0.89,0.59,0.39,0.899052952,43.719525,-0.16422947,0.21,0.42,0.44,0.56,0.69,0.38,0.45,0.51224149,-17.68674358,0.09338462
20BYD00015,1,1,1,15,KS18EVACM^11,20ASH,9/17/19,Untreated,5,0.84,4400,0.9,0.91,0.91,0.9,0.88,0.75,0.52,0.901367886,56.85879578,-0.210984695,0.23,0.41,0.43,0.56,0.58,0.45,0.59,0.550996653,-12.44506998,0.065265491
20BYD00016,1,1,1,16,KS100028K^11,20ASH,9/17/19,Untreated,1,0.88,4500,0.88,0.9,0.91,0.91,0.89,0.7,0.47,0.899967367,52.11202772,-0.194116673,0.18,0.43,0.44,0.56,0.56,0.56,0.66,0.613106475,-12.12762369,0.061380539
20BYD00017,1,1,1,17,KS15DH0055-11,20ASH,9/17/19,Untreated,5,0.87,5200,0.89,0.9,0.9,0.91,0.91,0.74,0.51,0.902861928,57.04982337,-0.21191336,0.21,0.37,0.4,0.55,0.66,0.63,0.72,0.758362928,-8.747707935,0.041757632
20BYD00018,1,1,2,17,KS16DH0006-17,20ASH,9/17/19,Untreated,5,0.93,5000,0.9,0.91,0.93,0.92,0.92,0.77,0.49,0.91641133,68.26585095,-0.254207489,0.19,0.43,0.49,0.63,0.83,0.74,0.75,0.800760826,-12.1975367,0.059184219
20BYD00019,1,1,2,16,KS120522M-7,20ASH,9/17/19,Untreated,0,0.84,5800,0.87,0.89,0.91,0.9,0.88,0.71,0.45,0.891142415,59.84973262,-0.223239883,0.23,0.46,0.49,0.64,0.73,0.65,0.56,0.652719414,-13.55399477,0.069617012
20BYD00020,1,1,2,15,KS18EVACM-93,20ASH,9/17/19,Untreated,10,0.93,5200,0.86,0.89,0.9,0.91,0.92,0.81,0.58,0.896013329,74.34593799,-0.275149921,0.12,0.39,0.45,0.57,0.8,0.74,0.75,0.793795706,-13.37560688,0.063386972
20BYD00021,1,1,2,14,KS120008K-13,20ASH,9/17/19,Untreated,5,0.88,2800,0.92,0.9,0.92,0.91,0.9,0.63,0.38,0.913253432,50.75473822,-0.190655374,0.18,0.43,0.49,0.62,0.79,0.34,0.32,0.667990631,-14.2380206,0.069147272
20BYD00022,1,1,2,13,KS16DH0011-45,20ASH,9/17/19,Untreated,5,0.86,5000,0.91,0.89,0.9,0.9,0.9,0.74,0.5,0.900917596,58.72631849,-0.218307774,0.17,0.41,0.5,0.69,0.77,0.67,0.64,0.706457946,-15.82596428,0.078295734
20BYD00023,1,1,2,12,EVEREST,20ASH,9/17/19,Untreated,5,0.83,4800,0.91,0.89,0.92,0.91,0.89,0.72,0.43,0.904916662,64.62996461,-0.241518738,0.19,0.42,0.48,0.62,0.65,0.77,0.79,0.833831028,-9.438157662,0.045027411
20BYD00024,1,1,2,11,KS16DH0011-18,20ASH,9/17/19,Untreated,15,0.86,4800,0.93,0.9,0.92,0.92,0.91,0.73,0.51,0.917924955,51.00940495,-0.189503362,0.18,0.41,0.49,0.64,0.78,0.68,0.69,0.732239137,-13.67419121,0.067172199
20BYD00025,1,1,2,10,KS120905M-4,20ASH,9/17/19,Untreated,0,0.79,4700,0.83,0.88,0.88,0.87,0.86,0.7,0.48,0.865278456,54.99091399,-0.20437202,0.11,0.5,0.54,0.63,0.67,0.65,0.64,0.646905296,-22.0526605,0.111317108
20BYD00026,1,1,2,9,KS120849K-9,20ASH,9/17/19,Untreated,5,0.86,4900,0.81,0.87,0.88,0.87,0.87,0.72,0.48,0.860449989,63.44900322,-0.235891913,0.16,0.4,0.47,0.56,0.61,0.64,0.57,0.616354723,-14.31975774,0.071780311
